 probe_i          92 probe_j          62
  0.10400000000000008        1.0228018953760281        4.3275247359492640E-002
  0.10500000000000008        1.0228203982812607        4.3298410844986465E-002
  0.10600000000000008        1.0228388775375283        4.3321501132572583E-002
  0.10700000000000008        1.0228573340863065        4.3344519831762594E-002
  0.10800000000000008        1.0228757678319098        4.3367466949049131E-002
  0.10900000000000008        1.0228941792399204        4.3390343220299277E-002
  0.11000000000000008        1.0229125692700844        4.3413150191201115E-002
  0.11100000000000008        1.0229309377865869        4.3435887897879569E-002
  0.11200000000000009        1.0229492857413556        4.3458557961365739E-002
  0.11300000000000009        1.0229676130385805        4.3481160366575136E-002
  0.11400000000000009        1.0229859206527763        4.3503696682927070E-002
  0.11500000000000009        1.0230042084813602        4.3526166889096322E-002
  0.11600000000000009        1.0230224769508827        4.3548571773137042E-002
  0.11700000000000009        1.0230407270005266        4.3570912948573987E-002
  0.11800000000000009        1.0230589579581855        4.3593189689718106E-002
  0.11900000000000009        1.0230771713269413        4.3615404431744470E-002
  0.12000000000000009        1.0230953670007661        4.3637557218741990E-002
  0.12100000000000009        1.0231135449116309        4.3659648071008375E-002
  0.12200000000000009        1.0231317060700542        4.3681678543230587E-002
  0.12300000000000010        1.0231498509054076        4.3703649450953973E-002
  0.12400000000000010        1.0231679793168387        4.3725560854874133E-002
  0.12500000000000008        1.0231860917764908        4.3747413544542486E-002
  0.12600000000000008        1.0232041892851873        4.3769209077967275E-002
  0.12700000000000009        1.0232222712043844        4.3790946679151593E-002
  0.12800000000000009        1.0232403385393269        4.3812627920150643E-002
  0.12900000000000009        1.0232583911800055        4.3834252800696423E-002
  0.13000000000000009        1.0232764295447321        4.3855822158310458E-002
  0.13100000000000009        1.0232944545961644        4.3877337647478726E-002
  0.13200000000000009        1.0233124656891899        4.3898798549284947E-002
  0.13300000000000009        1.0233304638755629        4.3920206419284145E-002
  0.13400000000000009        1.0233484485432232        4.3941560432947675E-002
  0.13500000000000009        1.0233664212461340        4.3962862937843072E-002
  0.13600000000000009        1.0233843818586337        4.3984114000655751E-002
  0.13700000000000009        1.0234023303054438        4.4005313657991318E-002
  0.13800000000000009        1.0234202670921104        4.4026462646007292E-002
  0.13900000000000010        1.0234381926896807        4.4047561689312252E-002
  0.14000000000000010        1.0234561069767598        4.4068610800386931E-002
  0.14100000000000010        1.0234740109366396        4.4089611590616994E-002
  0.14200000000000010        1.0234919038927621        4.4110563332969192E-002
  0.14300000000000010        1.0235097868709078        4.4131467595319794E-002
